,Bulan,Harga
0,1,3950.31
1,2,3376.85
2,3,3073.16
3,4,3257.48
4,5,3346.45
5,6,3427.76
6,7,3654.52
7,8,3800.31
8,9,3823.6
9,10,3980.17
10,11,3991.07
11,12,4145.78
12,13,4480.03
13,14,4111.75
14,15,3683.44
15,16,3794.0
16,17,3901.73
17,18,3907.76
18,19,3939.03
19,20,3900.97
20,21,3971.03
21,22,4014.4
22,23,4109.06
23,24,4200.32
24,25,4411.75
25,26,4341.11
26,27,3854.53
27,28,3738.83
28,29,3876.67
29,30,3988.93
30,31,3967.3
31,32,4040.37
32,33,4046.64
33,34,4143.79
34,35,4241.44
35,36,4312.43
36,37,4494.67
37,38,4501.84
38,39,4210.54
39,40,4010.54
40,41,4209.36
41,42,4293.51
42,43,4171.76
43,44,4249.3
44,45,4369.26
45,46,4445.98
46,47,4611.82
47,48,4995.31
48,49,5118.31
49,50,5007.01
50,51,4590.26
51,52,4187.27
52,53,4509.17
53,54,4524.76
54,55,4525.24
55,56,4677.06
56,57,4851.56
57,58,4984.06
58,59,5151.45
59,60,5201.8
60,61,5290.78
61,62,5298.05
62,63,4783.06
63,64,4339.74
64,65,4527.07
65,66,4597.61
66,67,4458.23
67,68,4563.69
68,69,4620.97
69,70,4642.62
70,71,4659.75
71,72,4717.12
72,73,4843.87
73,74,4730.5
74,75,4460.28
75,76,4390.69
76,77,4570.38
77,78,4615.0
78,79,4569.57
79,80,4591.39
80,81,4743.5
81,82,4884.95
82,83,4951.17
83,84,5080.86
84,85,5508.3
85,86,5304.55
86,87,4844.77
87,88,4643.47
88,89,4642.19
89,90,4738.79
90,91,4716.15
91,92,4870.22
92,93,4989.91
93,94,5038.77
94,95,5211.59
95,96,5329.75
96,97,5452.72
97,98,5221.57
98,99,4706.34
99,100,4446.29
100,101,4445.88
101,102,4655.85
102,103,4712.46
103,104,4855.5
104,105,5011.52
105,106,5119.25
106,107,5203.31
107,108,5313.24
108,109,5370.89
109,110,5275.87
110,111,5030.35
111,112,4691.72
112,113,4730.15
113,114,4819.12
114,115,4882.88
115,116,4904.92
116,117,4995.59
117,118,4928.44
118,119,4815.34
119,120,4874.88
120,121,5026.18
121,122,4863.12
122,123,4480.91
123,124,4397.83
124,125,4497.54
125,126,4645.26
126,127,4407.78
127,128,4545.1
128,129,4648.73
129,130,4724.79
130,131,4752.73
131,132,4876.32
132,133,5117.23
133,134,4962.23
134,135,4704.14
135,136,4481.42
136,137,4577.78
137,138,4649.09
138,139,4682.04
139,140,4985.78
140,141,5263.55
141,142,5475.42
142,143,5523.27
143,144,5747.75
144,145,5972.72
145,146,5855.95
146,147,5402.6
147,148,5523.9
148,149,5731.97
149,150,5672.51
150,151,5763.73
151,152,5979.31
152,153,6681.94
153,154,6995.24
154,155,6872.37
155,156,6880.21
156,157,7069.33
157,158,7411.03
158,159,6877.87
159,160,5832.63
160,161,5993.04
161,162,6318.79
162,163,6630.62
163,164,6566.34
164,165,6632.15
165,166,6570.83
166,167,6452.88
167,168,6511.55
